Category,Subcategory,Data Point,Value,Color Code
Media Consumption,News,Daily News Consumption,45 minutes daily (morning podcasts evening reading),Gray
Media Consumption,Entertainment,Daily Entertainment,2 hours daily (streaming podcasts reading),Gray
Media Consumption,Social Media,Daily Social Media,30 minutes daily (primarily LinkedIn and Instagram),Gray
Media Consumption,Audio,Podcast Preferences,News (NPR NYT The Daily) business parenting wellness,Gray
Media Consumption,Reading,Monthly Reading,2 books per month (mix of fiction business social issues),Gray
Decision-Making,Purchases,Purchase Decisions,Research-heavy reviews recommendations from friends,Brown
Decision-Making,Politics,Political Decisions,Multiple news sources candidate forums endorsements,Brown
Decision-Making,Brands,Brand Loyalty,Moderate to high for trusted brands willing to pay premium for quality,Brown
Decision-Making,Information,Information Sources,Trusted news outlets peer recommendations expert opinions,Brown
Decision-Making,Risk,Risk Tolerance,Moderate conservative (financial) progressive (social issues),Brown
Psychographic Profile,Personality,Personality Type,Analytical socially conscious achievement-oriented,Black
Psychographic Profile,Motivation,Primary Motivations,Family success career advancement community improvement,Black
Psychographic Profile,Concerns,Main Concerns,Children's future climate change political polarization economic inequality,Black
Psychographic Profile,Goals,Aspirations,Leadership roles positive community impact financial security,Black
Psychographic Profile,Stress,Stress Factors,Work-life balance commute political climate housing costs,Black
